vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Pcdh7,1.2590282,2.2639771532046757e-197,Ivns1abp,2.077127,5.0629748556773253e-203,Sorbs2,1.8305849,0.0,Mt-co1,6.7203703,0.0
Dlc1,1.8437576,1.7419933850890593e-182,Grm1,3.1226144,2.674861111304437e-164,Enah,3.7788134,4.6456887691627585e-288,Mt-nd4,7.7713075,0.0
Palld,1.1656814,1.9996369682133296e-160,Prune2,2.3956113,1.672663142588331e-131,Ppm1e,5.0206637,4.640424913971453e-221,Mt-co3,6.7194552,0.0
Fgf13,1.4028592,2.047764054364735e-155,Ppargc1a,2.326146,1.5142446806731129e-127,Xirp2,3.5612912,5.806301698520509e-216,Mt-co2,7.3175507,0.0
Ctnna3,1.2227209,2.097477650361825e-155,Cpeb3,1.9817591,4.027930158712178e-124,Ankrd1,4.8789883,8.279163063972718e-212,Mt-atp6,7.5637107,0.0
Magi2,1.5365849,7.848028550502561e-148,Esrrg,1.9400612,4.026650747261064e-119,Tlr4,3.858296,9.414341353656142e-167,Mt-cytb,7.7375517,0.0
Ank2,1.5350592,1.0305125520574804e-147,Pde4d,1.3607324,1.0406262191644237e-117,Pakap-1,3.4728348,1.1466481365124685e-153,Mt-nd1,7.552417,0.0
Tnni3k,1.5398334,5.270179625736988e-129,Kcnd2,2.4361362,4.516221155156191e-114,Creb5,4.310282,2.4095592583145114e-153,Mt-nd2,7.462943,0.0
Pde4d,1.361972,3.748528911612854e-120,Pfkfb2,2.6348789,9.130577442097334e-110,Lrrfip1,2.5528638,3.1398207795950863e-152,Mb,5.5808067,0.0
Malat1,0.7813777,6.923459144810831e-109,Cacna1c,1.2066876,5.545462184834747e-105,Clic5,3.2446752,3.406702644880655e-151,Gm42418,2.6859653,0.0
Zfpm2,1.2351364,3.724269638265479e-108,Gpcpd1,2.2177253,1.1048016933169089e-103,Nppb,4.1329255,2.873370107779664e-144,Mt-nd5,7.3411894,0.0
Cacnb2,1.352094,5.986878784569608e-107,Ralgapa2,1.7495457,5.100007757092301e-97,Rtn4,4.680584,3.1941126001432226e-141,Mt-nd3,7.2097692,0.0
Kcnj3,1.9778098,7.611540179661609e-104,Gm31251,2.367611,6.531896554340183e-94,Hectd2os,3.7215712,8.545014592929057e-141,Ay036118,4.897646,0.0
Dip2c,1.252321,8.547063941568576e-103,Vegfa,2.0464578,8.022047715047708e-92,Aopep,2.467445,1.320919240453705e-138,Slc25a4,4.8921413,0.0
Nr3c2,1.8523457,3.5103384476962594e-98,Pde7a,2.347734,4.312790581397556e-88,Flnc,3.9971607,2.530272107853909e-137,Myl3,4.690379,0.0
Pde4b,1.471962,1.1888806300034883e-96,Mhrt,2.132704,6.243336458446593e-87,Nrap,2.3597531,4.520939483000381e-130,Myl2,3.116754,0.0
Zbtb20,0.7916679,3.099835686051793e-95,Fnip2,2.5154634,1.4729097735171494e-84,Airn,2.0535326,9.897100985793986e-126,Tnni3,3.235171,0.0
Sox6,1.3232776,4.332231645195043e-95,Sorbs1,0.99187654,2.7706389568385616e-80,Rras2,3.5981822,2.8378267312896776e-118,Cox6a2,5.6919556,0.0
Kcnn2,1.7494344,1.2132052910621077e-93,Cobll1,2.082056,2.5797050064457167e-79,Picalm,2.9955616,1.0393518782022262e-105,Tpt1,6.153158,0.0
Angpt1,2.2207577,1.230395332655737e-93,Wnk2,2.447141,6.111082661656336e-77,Col4a2,3.152434,5.811204140899821e-101,Camk1d,4.388438,0.0
