vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Palld,0.91924477,1.5484840086784131e-37,Prune2,1.9108396,1.4408994975724918e-37,Sorbs2,1.6130261,2.9753602446676225e-42,Mt-co1,6.4370227,2.787096016289342e-107
Dlc1,1.0454998,5.144403584894968e-21,Grm1,1.9061843,1.4408994975724918e-37,Tlr4,4.594049,1.9372050312202065e-37,Mt-co3,7.6380544,1.0016467571752219e-103
Mhrt,0.7975426,1.1837580257995295e-19,Ivns1abp,0.9801637,1.712258197519188e-30,Aopep,2.0803888,2.9186126885912184e-32,Mb,6.0433736,1.9607689677449645e-103
Nfia,0.6668173,3.2877234843442607e-19,Kcnd2,2.2884114,3.437487931362353e-30,Enah,3.013191,2.9186126885912184e-32,Mt-atp6,8.165239,3.723706265730302e-100
Magi3,1.4933815,1.3921069570195252e-18,Ppargc1a,1.7308784,8.588694702362088e-29,Xirp2,3.411702,1.2678400899936171e-28,Mt-co2,7.9565854,6.823590533987074e-99
Malat1,0.49339497,2.805175174165763e-18,Slc4a4,2.1990845,4.967647324164956e-27,Ankrd1,4.6759443,8.853231128983371e-28,Mt-nd4,8.201522,9.294712205878084e-99
Dip2c,0.7900732,8.135891247614082e-17,Stk39,2.2210178,8.936269176285424e-27,Csrp3,3.990631,1.5062260246095759e-27,Mt-cytb,8.066595,1.5028307077311936e-93
Lama2,0.84127563,2.67061380848638e-16,Pde7a,2.027983,1.0505453725169735e-26,Nrap,2.7603455,3.3763142164461764e-27,Mt-nd1,7.850886,5.276326935797928e-89
Ghr,1.0917386,2.67061380848638e-16,Ralgapa2,1.4226236,1.6955534053080578e-25,Creb5,5.058171,7.808821226008946e-26,Mt-nd2,7.664494,2.71630086309343e-88
Nr3c2,1.2916821,6.6540864423508346e-15,Esrrg,1.1896602,2.3475315045251127e-24,Alpk2,2.8316622,9.032995688345022e-24,Myl3,4.310877,4.387160528417779e-73
Cacnb2,0.89778113,1.247284921528929e-13,Cobll1,1.8471512,7.706548740981154e-24,Pdlim3,4.6431675,1.3335947609996414e-22,Myl2,2.5447958,6.1117852582322955e-71
Auts2,0.72310627,1.247284921528929e-13,Adk,1.2600478,7.796145245296458e-24,Hectd2os,4.361429,3.75008594792519e-22,Mt-nd3,7.0166,2.2002006927455858e-68
Ccdc141,0.7995165,3.699865595042471e-13,Pfkfb2,2.0423512,2.4953530503899306e-23,Filip1,2.0053515,4.167671707008988e-21,Cox6c,6.426827,1.594812819738955e-65
