vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Malat1,1.4610783,1.9664628135934226e-85,Grm1,3.0614042,7.189799318658486e-63,Sorbs2,2.122307,4.532552754437646e-68,Mt-co1,7.0086226,0.0
Dlc1,2.7495883,1.5233847245176789e-77,Prune2,2.871071,2.3348057934402973e-62,Aopep,3.0718741,1.904152176709868e-65,Mt-co3,7.3810296,0.0
Dip2c,2.475514,1.7892624813359316e-61,Ivns1abp,1.7213525,5.4457299202223144e-58,Enah,3.5289564,1.6328592884581406e-61,Mt-nd4,7.6420026,3.061600737428782e-305
Nfia,2.4201016,3.0200817531280173e-59,Cacna1c,1.9365008,6.306860440015625e-48,Creb5,4.980552,7.519708971653209e-59,Mt-co2,7.6275525,3.8156222543841496e-305
Pcdh7,2.0787973,3.0432524670607636e-58,Ppargc1a,2.500327,7.539733069770848e-41,Ppm1e,4.8554635,4.530013664608087e-55,Mt-atp6,7.756461,1.1099671274036213e-303
Fgf13,2.1501765,2.56554858030784e-56,Tacc2,1.866607,3.111811933247169e-40,Tlr4,3.9225776,1.3479227497388545e-49,Mt-cytb,7.893777,4.976179090553285e-300
Nav2,2.4709542,1.2053114725495336e-55,Pfkfb2,3.0630038,7.355034494220391e-40,Nrap,2.66943,3.2698896853126065e-46,Mt-nd1,7.7430573,2.664828369782956e-296
Ank2,2.2534041,2.2153591300741346e-55,Kcnd2,2.729272,8.38894919838949e-38,Arhgef12,2.557613,1.0208244037028351e-43,Mt-nd2,7.5065618,2.4623841916450447e-294
Zfpm2,2.3138623,6.260323806330089e-54,Cpeb3,2.2318077,2.2499968069715763e-37,Clic5,3.1199303,2.2983864509365142e-43,Myl2,3.4702556,3.5978677056858087e-286
Magi2,2.121661,1.1964976714172778e-49,Sorbs1,1.4960655,9.622580611229137e-36,Lrrfip1,2.755835,6.232344238598293e-35,Mb,4.8940105,1.1637597373647753e-283
Pde4d,2.0744445,3.7522726078554814e-49,Pde4d,1.6898351,1.7959751184396033e-33,Xirp2,2.727277,2.06425385134319e-33,Mt-nd5,7.638181,5.380548714940807e-278
Palld,1.7668495,5.011778342334662e-46,Tfdp2,2.50291,2.48668524967971e-33,Malat1,1.0945642,1.5715308743876798e-32,Gm42418,3.5302649,9.828675795177167e-264
Auts2,2.3208175,1.874598637594209e-45,Fnip2,2.9941866,5.01209277439054e-33,Pakap-1,2.9060998,8.1753543830281e-31,Myl3,4.2842555,2.0055658721114168e-253
Lama2,2.2887676,4.945692235077081e-45,Neat1,1.9696319,1.427555045041872e-32,Efna5,3.3098392,4.9441861579184764e-30,Slc25a4,4.1391826,1.7748436749482652e-247
Mir99ahg,2.3470304,4.945692235077081e-45,Esrrg,2.25922,3.062888300743483e-32,Gm12295,3.082447,8.50988572786477e-29,Ay036118,3.4206538,2.518077728097413e-246
Cacnb2,2.1052933,5.483106284732834e-45,D830005e20rik,1.8520294,2.374890978432357e-31,Nuak1,3.6373422,1.5394659051793765e-27,Tnni3,3.7266827,4.918407518604885e-239
Rora,2.4029427,2.7008933022200095e-44,Pde7a,2.55267,8.751318300067601e-29,Myot,3.603063,4.7163617940055844e-27,Tpm1,2.933244,3.873787587088839e-230
